Dates,Whole_House_Consumption,Volts,Amps,Kitchen_Consumption,Laundry_Consumption,HVAC_WaterHeater_Consumption
1/1/2007,2721,240,8,0,271,338
1/2/2007,1560,240,5,116,297,754
1/3/2007,113,241,1,0,241,114
1/4/2007,2675,240,8,315,612,1113
1/5/2007,1477,235,5,258,499,518
1/6/2007,659,235,3,0,372,460
1/7/2007,866,240,3,105,621,275
1/8/2007,857,235,3,145,0,593
1/9/2007,1627,239,5,163,446,560
1/10/2007,1530,239,5,169,694,349
1/11/2007,114,241,1,0,213,115
1/12/2007,3054,240,9,510,256,1020
1/13/2007,3074,239,9,409,450,665
1/14/2007,2923,239,9,139,447,753
1/15/2007,2009,241,6,112,283,863
1/16/2007,1526,242,5,163,415,375
1/17/2007,2685,241,8,282,542,907
1/18/2007,1535,241,5,0,249,771
1/19/2007,1228,240,4,183,246,417
1/20/2007,3037,239,9,287,501,669
1/21/2007,3347,239,10,343,457,684
1/22/2007,2034,242,6,71,358,643
1/23/2007,1570,243,5,0,317,292
1/24/2007,2957,241,9,267,343,665
1/25/2007,1338,243,5,116,196,633
1/26/2007,1503,243,5,113,194,464
1/27/2007,1956,242,6,115,406,705
1/28/2007,2995,240,9,283,461,698
1/29/2007,1809,241,6,113,215,873
1/30/2007,1513,242,5,114,277,465
1/31/2007,2209,240,7,0,458,866
2/1/2007,1026,242,4,0,266,374
2/2/2007,1464,240,5,0,278,655
2/3/2007,112,241,1,0,259,112
2/4/2007,1692,240,6,138,450,951
2/5/2007,698,236,3,6,512,226
2/6/2007,1282,234,4,222,412,460
2/7/2007,704,241,3,109,777,196
2/8/2007,832,235,3,20,0,417
2/9/2007,1645,240,5,242,622,508
2/10/2007,2092,238,6,52,819,748
2/11/2007,1164,239,4,89,367,708
2/12/2007,2978,241,9,114,490,603
2/13/2007,1293,241,4,0,362,361
2/14/2007,2343,240,7,266,566,662
2/15/2007,1751,241,6,0,443,799
2/16/2007,1519,241,5,76,345,498
2/17/2007,1995,239,6,100,543,414
2/18/2007,3645,239,11,388,744,760
2/19/2007,1934,240,6,98,590,761
2/20/2007,3048,240,9,221,540,560
2/21/2007,1864,240,6,224,472,658
2/22/2007,3293,239,10,109,433,714
2/23/2007,1033,241,4,0,374,612
2/24/2007,341,240,2,0,278,205
2/25/2007,97,242,1,0,252,95
2/26/2007,166,241,2,0,253,162
2/27/2007,109,243,1,0,237,109
2/28/2007,111,242,1,0,259,113
3/1/2007,719,244,3,0,262,264
3/2/2007,3984,239,12,296,564,1027
3/3/2007,445,241,2,0,267,262
3/4/2007,1329,240,5,220,442,441
3/5/2007,819,235,3,136,535,467
3/6/2007,1922,235,6,287,745,506
3/7/2007,787,240,3,69,750,270
3/8/2007,851,234,3,108,0,554
3/9/2007,841,240,3,25,544,308
3/10/2007,1019,239,4,109,706,217
3/11/2007,115,240,1,0,204,112
3/12/2007,1496,241,5,76,218,593
3/13/2007,999,241,4,108,490,304
3/14/2007,1547,241,5,268,347,491
3/15/2007,1695,240,6,0,446,638
3/16/2007,1666,240,5,112,433,314
3/17/2007,1801,238,6,161,275,716
3/18/2007,2190,241,7,422,662,342
3/19/2007,1983,241,6,166,420,806
3/20/2007,1880,241,6,248,352,647
3/21/2007,1920,241,6,144,459,705
3/22/2007,1129,242,4,11,336,595
3/23/2007,1037,242,4,112,287,480
3/24/2007,2871,240,9,205,651,945
3/25/2007,3123,240,10,323,448,538
3/26/2007,1257,241,4,113,259,523
3/27/2007,796,241,3,0,372,214
3/28/2007,2185,240,7,115,634,796
3/29/2007,1272,241,5,115,356,617
3/30/2007,1140,241,4,112,376,475
3/31/2007,3412,239,10,179,765,1016
4/1/2007,3073,240,9,74,551,624
4/2/2007,3487,240,11,141,493,834
4/3/2007,1840,240,6,68,575,545
4/4/2007,1864,240,6,221,334,843
4/5/2007,710,236,3,165,432,239
4/6/2007,663,235,3,171,651,277
4/7/2007,683,241,3,207,833,325
4/8/2007,856,235,3,20,52,476
4/9/2007,1398,240,5,185,587,567
4/10/2007,1241,239,4,180,320,566
4/11/2007,1221,240,4,0,404,415
4/12/2007,1817,242,6,72,396,487
4/13/2007,114,240,2,0,451,114
4/14/2007,123,240,2,0,467,117
4/15/2007,377,240,2,0,412,168
4/16/2007,659,241,3,107,327,269
4/17/2007,973,240,4,38,289,357
4/18/2007,819,240,3,99,260,200
4/19/2007,759,240,3,33,334,332
4/20/2007,547,240,3,112,263,203
4/21/2007,1452,239,5,294,358,646
4/22/2007,2141,240,7,227,620,647
4/23/2007,742,237,3,125,404,361
4/24/2007,754,235,3,101,419,403
4/25/2007,1015,235,4,0,453,529
4/26/2007,1028,235,4,87,547,432
4/27/2007,793,235,3,113,437,286
4/28/2007,14,234,5,0,16,0
4/29/2007,,,,,,
4/30/2007,363,235,3,116,210,70
5/1/2007,2417,240,8,125,285,440
5/2/2007,1483,241,5,33,461,449
5/3/2007,2479,240,8,299,714,577
5/4/2007,1611,241,5,115,522,601
5/5/2007,1381,235,5,239,542,678
5/6/2007,1251,235,4,379,624,388
5/7/2007,772,240,3,192,669,229
5/8/2007,556,235,2,4,0,399
5/9/2007,986,239,4,0,676,389
5/10/2007,1079,239,4,0,251,552
5/11/2007,1240,240,4,102,293,382
5/12/2007,2121,241,6,152,214,624
5/13/2007,1510,236,5,217,480,537
5/14/2007,1197,236,5,195,394,333
5/15/2007,545,236,3,0,308,318
5/16/2007,1461,235,5,178,507,544
5/17/2007,1019,236,4,72,442,462
5/18/2007,1396,236,5,198,514,485
5/19/2007,1225,235,4,304,404,424
5/20/2007,1833,235,6,339,458,457
5/21/2007,788,235,3,0,359,543
5/22/2007,848,235,3,70,460,241
5/23/2007,1255,235,4,105,540,492
5/24/2007,832,236,3,71,488,287
5/25/2007,1282,234,5,306,430,399
5/26/2007,1381,235,5,175,514,521
5/27/2007,2085,235,6,329,632,629
5/28/2007,1371,235,5,322,363,578
5/29/2007,804,236,3,0,359,261
5/30/2007,1364,235,5,191,538,469
5/31/2007,616,235,3,71,364,212
6/1/2007,1388,240,5,58,300,331
6/2/2007,1173,241,4,115,314,259
6/3/2007,1033,241,4,0,871,274
6/4/2007,1265,241,5,0,576,524
6/5/2007,1975,234,6,214,535,611
6/6/2007,1509,235,5,322,589,702
6/7/2007,811,241,3,193,732,231
6/8/2007,810,235,3,115,0,483
6/9/2007,661,239,3,0,663,202
6/10/2007,1542,238,5,321,251,570
6/11/2007,1923,239,6,75,488,622
6/12/2007,2455,240,7,210,230,683
6/13/2007,686,240,3,107,425,302
6/14/2007,1030,240,4,188,529,407
6/15/2007,709,240,3,152,929,262
6/16/2007,1915,239,6,230,1045,641
6/17/2007,1879,240,6,320,765,506
6/18/2007,437,241,2,0,413,246
6/19/2007,648,240,3,113,413,252
6/20/2007,832,240,3,213,614,296
6/21/2007,510,241,2,108,771,213
6/22/2007,238,241,2,0,766,202
6/23/2007,160,240,2,0,674,138
6/24/2007,483,241,2,0,673,197
6/25/2007,836,240,3,123,783,281
6/26/2007,719,240,3,108,707,304
6/27/2007,1219,240,4,92,856,422
6/28/2007,973,239,4,0,840,553
6/29/2007,1095,240,4,260,565,394
6/30/2007,1103,240,4,132,653,480
7/1/2007,2204,241,7,145,590,739
7/2/2007,2263,241,7,335,399,682
7/3/2007,2231,240,7,74,589,886
7/4/2007,1272,240,5,116,604,343
7/5/2007,1524,235,5,70,592,573
7/6/2007,805,234,3,73,587,239
7/7/2007,1140,240,4,109,629,585
7/8/2007,1413,235,4,17,116,547
7/9/2007,1099,239,4,252,437,551
7/10/2007,1958,239,6,160,584,631
7/11/2007,1566,240,5,306,220,371
7/12/2007,1477,241,5,19,368,585
7/13/2007,563,241,3,0,516,254
7/14/2007,1068,241,4,230,632,378
7/15/2007,679,241,3,68,506,323
7/16/2007,617,237,3,68,578,251
7/17/2007,441,235,2,69,577,204
7/18/2007,479,231,2,73,563,290
7/19/2007,375,234,2,99,584,190
7/20/2007,841,236,3,167,718,287
7/21/2007,791,234,3,37,427,470
7/22/2007,1202,236,4,397,151,336
7/23/2007,784,235,3,213,144,235
7/24/2007,593,235,3,0,99,339
7/25/2007,185,236,2,0,85,142
7/26/2007,678,235,3,109,204,261
7/27/2007,1078,236,4,215,49,429
7/28/2007,1468,235,5,106,428,393
7/29/2007,77,236,1,0,0,78
7/30/2007,211,236,1,0,0,150
7/31/2007,641,235,2,190,0,215
8/1/2007,2023,240,7,0,360,1004
8/2/2007,1619,242,5,159,284,579
8/3/2007,1226,241,5,130,1030,384
8/4/2007,1334,240,5,0,385,203
8/5/2007,1775,235,5,282,509,525
8/6/2007,1964,236,6,160,894,678
8/7/2007,782,240,3,217,694,307
8/8/2007,901,235,3,49,134,582
8/9/2007,1264,240,4,160,518,533
8/10/2007,761,239,3,0,303,295
8/11/2007,1313,241,4,108,230,377
8/12/2007,1998,240,6,113,309,712
8/13/2007,914,235,3,4,275,664
8/14/2007,674,237,3,39,114,372
8/15/2007,960,240,4,21,273,564
8/16/2007,691,240,3,39,0,433
8/17/2007,791,240,3,19,0,447
8/18/2007,104,241,1,0,0,105
8/19/2007,1262,240,4,108,354,351
8/20/2007,1080,241,4,110,486,418
8/21/2007,405,241,2,0,38,189
8/22/2007,961,241,4,199,97,414
8/23/2007,914,241,3,214,210,307
8/24/2007,1411,240,5,115,868,572
8/25/2007,863,240,4,315,789,333
8/26/2007,1109,240,4,129,958,330
8/27/2007,897,240,4,215,1136,367
8/28/2007,792,240,3,76,382,320
8/29/2007,486,241,2,110,412,285
8/30/2007,959,241,4,222,398,245
8/31/2007,1064,240,4,103,485,507
9/1/2007,1625,240,5,131,456,564
9/2/2007,1296,242,5,0,397,555
9/3/2007,964,241,4,75,262,495
9/4/2007,667,241,3,171,405,222
9/5/2007,1426,235,5,174,614,568
9/6/2007,791,241,3,69,409,379
9/7/2007,967,241,4,106,483,539
9/8/2007,846,234,3,9,274,404
9/9/2007,1602,239,5,134,622,540
9/10/2007,1435,239,5,90,337,542
9/11/2007,2036,239,6,0,414,893
9/12/2007,2089,240,7,373,299,507
9/13/2007,1026,239,4,100,558,225
9/14/2007,886,239,3,71,547,343
9/15/2007,858,240,3,0,550,374
9/16/2007,1515,240,5,161,552,540
9/17/2007,1224,239,4,277,515,367
9/18/2007,946,238,4,215,502,315
9/19/2007,1182,240,4,0,491,458
9/20/2007,1059,240,4,113,386,576
9/21/2007,1023,239,4,152,497,367
9/22/2007,910,239,4,69,917,445
9/23/2007,1298,240,4,178,1151,427
9/24/2007,1138,239,4,68,897,464
9/25/2007,1831,238,5,39,422,579
9/26/2007,1657,239,5,71,723,330
9/27/2007,1148,240,4,74,510,427
9/28/2007,1499,239,5,70,657,577
9/29/2007,2162,239,7,309,630,476
9/30/2007,1232,240,4,53,473,590
10/1/2007,2013,241,6,29,577,636
10/2/2007,2689,240,8,264,507,829
10/3/2007,2402,240,7,312,461,635
10/4/2007,452,241,2,9,548,148
10/5/2007,469,236,2,71,430,196
10/6/2007,1216,241,4,269,472,346
10/7/2007,617,240,3,2,606,269
10/8/2007,806,235,3,16,456,501
10/9/2007,859,239,3,72,476,326
10/10/2007,866,239,3,141,362,199
10/11/2007,2480,239,8,188,219,801
10/12/2007,1560,242,5,74,202,478
10/13/2007,1714,239,6,111,409,500
10/14/2007,1914,239,6,193,549,414
10/15/2007,916,239,4,110,244,446
10/16/2007,1727,239,6,0,549,575
10/17/2007,1277,239,5,109,318,523
10/18/2007,1245,240,4,114,230,566
10/19/2007,1923,240,6,90,352,671
10/20/2007,1548,242,5,128,212,749
10/21/2007,1788,242,6,303,364,418
10/22/2007,1349,241,5,0,216,741
10/23/2007,1721,241,6,111,384,611
10/24/2007,1628,241,5,303,264,524
10/25/2007,1606,240,5,125,314,429
10/26/2007,1415,241,4,0,257,334
10/27/2007,1557,240,5,56,350,514
10/28/2007,142,241,1,0,205,100
10/29/2007,168,241,2,0,196,159
10/30/2007,451,241,2,0,274,244
10/31/2007,910,240,4,0,464,511
11/1/2007,1969,241,7,49,398,714
11/2/2007,3460,239,11,171,501,755
11/3/2007,3381,240,10,240,412,546
11/4/2007,479,241,3,0,818,366
11/5/2007,685,235,3,70,394,387
11/6/2007,584,241,2,0,362,309
11/7/2007,393,241,2,109,503,303
11/8/2007,829,235,3,45,350,615
11/9/2007,747,240,3,69,434,334
11/10/2007,1439,238,5,127,300,458
11/11/2007,1805,240,5,207,231,352
11/12/2007,2253,241,7,73,334,725
11/13/2007,2011,241,6,72,429,632
11/14/2007,1851,240,6,74,218,931
11/15/2007,1253,240,4,129,217,432
11/16/2007,2200,241,7,144,430,776
11/17/2007,2522,241,8,174,319,857
11/18/2007,2096,242,6,342,286,401
11/19/2007,1419,243,5,72,184,614
11/20/2007,1898,241,6,69,427,627
11/21/2007,1569,242,5,114,216,539
11/22/2007,1763,242,6,167,215,514
11/23/2007,2359,241,7,218,485,779
11/24/2007,1656,242,5,129,394,765
11/25/2007,1099,243,4,209,202,321
11/26/2007,1415,241,5,113,208,513
11/27/2007,2761,241,8,112,635,857
11/28/2007,1354,243,5,76,272,442
11/29/2007,1551,243,5,144,201,500
11/30/2007,2300,243,7,0,520,753
12/1/2007,1119,242,4,0,333,474
12/2/2007,1655,240,5,226,313,657
12/3/2007,1809,241,6,122,410,712
12/4/2007,106,240,2,0,436,104
12/5/2007,1291,235,4,156,518,624
12/6/2007,722,240,3,67,351,227
12/7/2007,809,241,3,112,511,369
12/8/2007,1008,236,4,52,75,514
12/9/2007,1061,240,4,0,541,442
12/10/2007,1656,238,6,110,476,686
12/11/2007,1895,240,6,72,343,762
12/12/2007,1520,242,5,112,187,441
12/13/2007,1726,242,5,111,284,508
12/14/2007,1783,242,6,101,352,731
12/15/2007,2610,241,8,65,404,819
12/16/2007,2736,243,8,183,280,730
12/17/2007,1452,243,5,64,180,601
12/18/2007,2479,243,8,74,408,626
12/19/2007,2034,243,6,117,290,652
12/20/2007,1789,243,6,139,211,759
12/21/2007,1749,243,6,116,145,690
12/22/2007,2580,242,8,304,426,717
12/23/2007,2533,243,7,145,303,669
12/24/2007,2135,243,7,252,287,810
12/25/2007,2538,243,8,218,294,507
12/26/2007,2330,242,7,110,341,535
12/27/2007,2437,242,7,252,239,451
12/28/2007,2985,242,9,146,541,890
12/29/2007,3150,241,10,323,309,846
12/30/2007,2509,242,7,293,356,768
12/31/2007,2120,241,6,0,372,800
1/1/2008,2733,241,8,179,331,697
1/2/2008,1348,240,5,29,213,408
1/3/2008,1507,239,3,0,347,156
1/4/2008,2002,242,6,109,495,823
1/5/2008,99,241,2,0,425,992
1/6/2008,1681,241,5,219,429,1163
1/7/2008,1026,240,4,232,453,1099
1/8/2008,422,240,2,28,500,1041
1/9/2008,998,240,4,112,379,1131
1/10/2008,1661,241,5,165,487,1152
1/11/2008,911,242,3,0,258,110
1/12/2008,1597,243,5,112,231,510
1/13/2008,2737,240,8,307,265,540
1/14/2008,1881,240,6,154,264,563
1/15/2008,2565,241,8,29,533,822
1/16/2008,2118,240,6,117,430,540
1/17/2008,1375,242,5,72,274,496
1/18/2008,2001,240,6,73,319,860
1/19/2008,1768,240,6,128,452,469
1/20/2008,1555,240,5,101,297,288
1/21/2008,1717,240,6,0,290,600
1/22/2008,2128,240,7,271,602,436
1/23/2008,1609,241,6,113,302,754
1/24/2008,1353,241,5,111,247,346
1/25/2008,2201,241,6,0,308,652
1/26/2008,2815,240,8,266,240,903
1/27/2008,2393,241,7,212,417,422
1/28/2008,2204,240,7,116,213,728
1/29/2008,2671,241,8,94,429,632
1/30/2008,1398,242,5,0,197,414
1/31/2008,1867,242,6,112,202,539
2/1/2008,1429,242,5,0,329,507
2/2/2008,2821,240,9,369,361,876
2/3/2008,1024,240,3,0,560,152
2/4/2008,1478,239,5,115,483,471
2/5/2008,1191,242,4,132,419,1111
2/6/2008,965,236,3,108,442,1046
2/7/2008,1007,239,4,109,504,1070
2/8/2008,217,239,2,0,371,1015
2/9/2008,1192,239,4,320,377,1064
2/10/2008,1070,240,4,0,267,1110
2/11/2008,979,242,3,0,261,159
2/12/2008,1572,243,5,0,228,638
2/13/2008,1673,241,6,168,385,435
2/14/2008,1312,241,5,103,218,536
2/15/2008,1812,242,6,75,318,756
2/16/2008,2298,241,7,73,340,671
2/17/2008,1882,242,6,217,315,346
2/18/2008,1212,242,4,0,189,587
2/19/2008,1952,241,6,142,412,638
2/20/2008,2117,242,7,247,475,440
2/21/2008,1383,241,5,0,236,492
2/22/2008,1576,241,5,116,373,575
2/23/2008,1638,240,5,150,292,582
2/24/2008,848,240,4,30,255,645
2/25/2008,112,240,1,0,247,106
2/26/2008,117,240,1,0,228,116
2/27/2008,177,240,2,0,251,172
2/28/2008,124,240,1,0,217,120
2/29/2008,1387,238,4,0,450,465
3/1/2008,1374,243,4,74,281,382
3/2/2008,1967,240,6,226,413,484
3/3/2008,1504,240,3,0,381,100
3/4/2008,875,241,3,0,331,398
3/5/2008,938,241,4,72,442,1070
3/6/2008,1381,234,5,251,463,1096
3/7/2008,873,240,3,110,493,1079
3/8/2008,216,237,2,0,370,999
3/9/2008,1179,240,4,119,401,1131
3/10/2008,1315,240,5,251,254,1118
3/11/2008,790,242,3,109,259,110
3/12/2008,1625,243,5,112,224,543
3/13/2008,1411,241,5,166,514,318
3/14/2008,2191,241,6,70,809,826
3/15/2008,1405,240,5,165,401,344
3/16/2008,1652,241,5,168,476,647
3/17/2008,1540,241,5,8,766,535
3/18/2008,1753,242,6,115,565,710
3/19/2008,1022,242,4,153,342,349
3/20/2008,945,242,4,112,396,383
3/21/2008,1948,241,6,173,849,756
3/22/2008,1865,242,6,284,536,708
3/23/2008,2197,243,7,276,238,782
3/24/2008,1845,243,6,113,567,400
3/25/2008,1851,242,6,227,491,761
3/26/2008,1438,243,5,176,453,425
3/27/2008,1128,242,4,0,284,513
3/28/2008,1663,242,5,168,454,656
3/29/2008,2345,241,7,265,297,979
3/30/2008,2077,241,6,465,339,562
3/31/2008,1053,243,4,109,325,531
4/1/2008,2233,241,7,102,495,676
4/2/2008,1417,240,5,115,194,554
4/3/2008,1684,241,5,87,454,541
4/4/2008,1338,241,5,156,319,750
4/5/2008,1401,241,4,118,562,1059
4/6/2008,1412,235,5,153,750,1037
4/7/2008,669,240,3,0,440,1101
4/8/2008,936,238,4,19,523,1010
4/9/2008,1016,239,4,170,298,1109
4/10/2008,2007,240,6,271,275,1184
4/11/2008,1267,241,5,0,439,239
4/12/2008,1461,243,5,110,209,629
4/13/2008,2045,240,7,259,607,1189
4/14/2008,1396,242,5,0,339,1161
4/15/2008,1437,241,5,61,546,1137
4/16/2008,1297,242,4,30,322,1165
4/17/2008,1057,241,4,77,333,1110
4/18/2008,1689,241,5,127,576,1153
4/19/2008,2260,241,7,245,525,1227
4/20/2008,1628,241,5,74,518,1144
4/21/2008,842,242,3,0,558,1080
4/22/2008,1342,241,5,70,701,1144
4/23/2008,1051,242,4,51,404,1110
4/24/2008,723,241,3,102,424,1045
4/25/2008,932,241,4,30,513,1121
4/26/2008,862,241,3,0,524,1013
4/27/2008,765,241,3,28,483,1051
4/28/2008,284,241,2,0,511,999
4/29/2008,1706,241,6,90,639,1141
4/30/2008,708,241,3,109,477,1070
5/1/2008,2098,239,6,154,215,850
5/2/2008,2333,241,7,113,484,779
5/3/2008,1835,241,6,75,618,320
5/4/2008,1849,241,6,201,422,889
