Dates,Whole_House_Consumption,Volts,Amps,Kitchen_Consumption,Laundry_Consumption,HVAC_WaterHeater_Consumption
9/2/2009,1520,243,5,110,170,532
9/3/2009,1571,242,5,153,275,580
9/4/2009,1746,242,5,115,273,1202
9/5/2009,1108,242,4,173,287,1075
9/6/2009,1035,241,4,110,315,1144
9/7/2009,565,243,3,0,506,1041
9/8/2009,735,242,3,194,600,1047
9/9/2009,1314,241,5,108,689,1141
9/10/2009,1045,241,4,0,436,1139
9/11/2009,1100,244,4,114,332,1091
9/12/2009,1581,242,5,220,418,1095
9/13/2009,1452,240,5,413,477,1128
9/14/2009,1499,241,5,188,470,1115
9/15/2009,1211,241,4,144,436,1100
9/16/2009,1538,240,5,111,569,1188
9/17/2009,985,241,4,0,440,1125
9/18/2009,1150,241,4,221,520,1115
9/19/2009,2034,240,6,135,664,1214
9/20/2009,1943,241,6,403,623,1161
9/21/2009,1156,241,4,107,472,1146
9/22/2009,1037,241,4,109,468,1100
9/23/2009,1447,241,5,162,494,1178
9/24/2009,1257,240,4,111,484,1131
9/25/2009,981,241,4,0,462,1124
9/26/2009,1404,241,5,215,443,1214
9/27/2009,1243,241,4,214,640,1105
9/28/2009,1076,242,4,0,469,1146
9/29/2009,998,241,3,109,472,1081
9/30/2009,1627,241,5,109,761,1106
10/1/2009,1911,244,6,186,338,706
10/2/2009,1829,243,6,115,196,686
10/3/2009,1715,242,5,0,208,657
10/4/2009,1639,242,5,224,417,1203
10/5/2009,1814,241,6,333,651,1114
10/6/2009,1430,241,5,110,472,1122
10/7/2009,1008,242,4,111,536,1082
10/8/2009,776,241,3,0,658,1060
10/9/2009,894,241,3,108,468,1066
10/10/2009,1861,240,6,324,446,1213
10/11/2009,1386,243,5,50,326,1167
10/12/2009,1814,242,6,135,261,1223
10/13/2009,1213,240,4,109,411,1120
10/14/2009,1479,240,5,221,537,1120
10/15/2009,1217,241,4,131,356,1117
10/16/2009,1242,240,4,0,368,1140
10/17/2009,2576,239,8,342,712,1290
10/18/2009,1302,241,4,34,384,1146
10/19/2009,1103,242,4,115,350,1104
10/20/2009,1592,243,5,29,344,1155
10/21/2009,1906,242,6,219,576,1099
10/22/2009,1179,242,4,0,382,1148
10/23/2009,1568,241,5,124,382,1160
10/24/2009,2511,240,8,352,405,1241
10/25/2009,2276,240,7,276,592,1199
10/26/2009,759,242,3,42,362,1046
10/27/2009,773,241,3,72,346,1095
10/28/2009,930,241,4,111,354,1116
10/29/2009,1854,240,6,103,539,1045
10/30/2009,1258,241,4,76,457,1107
10/31/2009,1668,241,5,144,463,1209
11/1/2009,1826,246,6,331,538,333
11/2/2009,2560,242,8,184,598,690
11/3/2009,2398,242,7,281,585,607
11/4/2009,2325,241,7,168,558,1280
11/5/2009,1239,240,4,110,344,1146
11/6/2009,1129,241,4,0,356,1147
11/7/2009,769,242,3,110,515,1099
11/8/2009,690,242,3,107,628,1072
11/9/2009,991,241,4,0,492,1159
11/10/2009,1766,241,6,204,659,1099
11/11/2009,1977,242,6,171,459,1153
11/12/2009,1653,244,5,124,286,1154
11/13/2009,1328,241,4,144,311,1108
11/14/2009,2452,240,7,240,477,1291
11/15/2009,1728,240,6,109,592,1122
11/16/2009,1231,242,4,221,398,1119
11/17/2009,1583,243,5,0,346,1158
11/18/2009,2529,241,8,460,637,1196
11/19/2009,1247,243,4,0,356,1146
11/20/2009,1822,242,6,30,302,1177
11/21/2009,2308,241,7,247,401,1175
11/22/2009,2322,241,7,237,311,1245
11/23/2009,1297,243,4,0,301,1100
11/24/2009,2008,242,6,235,444,1110
11/25/2009,1771,241,6,28,586,1133
11/26/2009,1478,243,5,170,301,1130
11/27/2009,1124,242,4,0,298,1153
11/28/2009,1868,242,5,284,290,1210
11/29/2009,1526,243,5,113,429,1091
11/30/2009,1569,244,5,109,270,1166
12/1/2009,1308,246,5,0,204,667
12/2/2009,1697,243,6,111,227,996
12/3/2009,1765,242,5,0,274,769
12/4/2009,2065,240,6,326,844,1183
12/5/2009,1341,240,5,0,394,1153
12/6/2009,793,241,3,109,345,1081
12/7/2009,235,242,2,0,460,1032
12/8/2009,544,242,3,108,544,1043
12/9/2009,1893,241,6,507,499,1178
12/10/2009,1047,240,4,110,400,1116
12/11/2009,1246,242,4,61,325,1123
12/12/2009,1641,245,5,112,437,1111
12/13/2009,1981,244,6,162,315,1197
12/14/2009,1606,246,5,111,371,1160
12/15/2009,1757,246,6,112,297,1211
12/16/2009,1187,247,4,113,416,1119
12/17/2009,1456,247,5,0,229,1215
12/18/2009,1574,247,5,116,225,1170
12/19/2009,1909,246,6,113,376,975
12/20/2009,796,247,3,48,234,426
12/21/2009,1892,246,6,172,213,622
12/22/2009,1664,246,5,0,216,865
12/23/2009,1157,247,4,114,213,610
12/24/2009,2779,246,8,182,476,806
12/25/2009,2040,244,6,106,431,1210
12/26/2009,2096,242,6,114,400,1241
12/27/2009,2092,243,6,316,243,1176
12/28/2009,1863,244,6,219,374,1226
12/29/2009,1907,243,6,56,267,1132
12/30/2009,2335,241,7,311,430,1169
12/31/2009,2071,241,6,0,305,1300
1/1/2010,1421,243,4,139,252,1008
1/2/2010,1429,244,5,112,299,1225
1/3/2010,1109,242,4,145,389,1066
1/4/2010,1395,242,5,145,433,1206
1/5/2010,1039,241,4,157,729,1059
1/6/2010,1030,241,4,109,294,1155
1/7/2010,1137,239,4,51,772,1066
1/8/2010,241,240,2,0,422,1005
1/9/2010,1372,241,5,219,448,1200
1/10/2010,1287,241,4,145,609,1137
1/11/2010,1033,246,4,0,524,1110
1/12/2010,,,,,,
1/13/2010,,,,,,
1/14/2010,610,244,9,165,64,231
1/15/2010,2015,244,6,175,299,1201
1/16/2010,2000,243,6,113,390,1195
1/17/2010,1695,243,5,147,228,1229
1/18/2010,1753,244,5,36,222,1183
1/19/2010,2284,243,7,153,226,1304
1/20/2010,2303,243,7,229,601,1219
1/21/2010,1863,243,6,35,375,1249
1/22/2010,1562,242,5,101,293,1211
1/23/2010,2541,241,8,205,521,1243
1/24/2010,2049,242,7,275,572,1148
1/25/2010,1705,243,6,116,375,1249
1/26/2010,2054,243,6,27,322,1249
1/27/2010,2668,242,8,165,557,1282
1/28/2010,1960,243,6,147,406,1225
1/29/2010,1933,244,6,96,356,1274
1/30/2010,2717,242,8,193,681,1279
1/31/2010,1624,243,5,145,399,1186
2/1/2010,1007,245,4,31,225,1078
2/2/2010,2003,243,6,0,312,1337
2/3/2010,535,242,2,0,343,1003
2/4/2010,1595,243,5,0,403,1181
2/5/2010,2089,240,6,153,749,1206
2/6/2010,769,240,3,0,358,1086
2/7/2010,851,240,3,103,786,1047
2/8/2010,233,241,2,0,403,1009
2/9/2010,1230,241,4,108,379,1152
2/10/2010,1786,241,6,208,626,1178
2/11/2010,828,246,3,0,470,1056
2/12/2010,,,,,,
2/13/2010,2390,243,7,148,420,1296
2/14/2010,1677,243,5,112,255,1194
2/15/2010,1800,243,6,128,265,1251
2/16/2010,1723,244,5,148,253,1184
2/17/2010,1937,242,6,229,504,1133
2/18/2010,1572,244,5,52,317,1221
2/19/2010,1750,242,6,157,326,1210
2/20/2010,1814,242,6,320,313,1215
2/21/2010,2608,241,8,203,677,1265
2/22/2010,1233,241,4,124,549,1126
2/23/2010,1175,242,4,0,475,1107
2/24/2010,1830,241,6,229,507,1203
2/25/2010,1669,241,5,0,395,1214
2/26/2010,2043,240,6,114,584,1217
2/27/2010,1674,242,5,289,366,1206
2/28/2010,555,243,2,0,402,991
3/1/2010,1892,244,6,300,429,1134
3/2/2010,2808,242,8,226,666,1336
3/3/2010,595,241,3,0,349,1071
3/4/2010,1786,243,5,144,547,1267
3/5/2010,1124,237,4,108,439,1154
3/6/2010,1158,240,4,209,328,1169
3/7/2010,882,241,3,0,809,1062
3/8/2010,252,242,2,0,394,1012
3/9/2010,1130,241,4,107,396,1114
3/10/2010,1638,242,5,383,730,1077
3/11/2010,1061,244,4,107,550,1070
3/12/2010,,,,,,
3/13/2010,2309,242,7,247,529,1276
3/14/2010,1382,242,5,288,356,1076
3/15/2010,1571,242,5,29,355,1224
3/16/2010,1479,242,4,0,371,1122
3/17/2010,1870,242,6,113,665,1181
3/18/2010,1400,242,5,115,455,1142
3/19/2010,1604,241,5,0,490,1178
3/20/2010,86,242,2,0,20,172
3/21/2010,935,240,6,147,327,470
3/22/2010,1324,241,5,114,474,1195
3/23/2010,1669,241,5,227,551,1187
3/24/2010,1956,241,6,112,636,1177
3/25/2010,1527,242,5,0,517,1199
3/26/2010,1454,241,5,112,571,1174
3/27/2010,1565,240,5,111,607,1169
3/28/2010,1680,241,5,112,806,1073
3/29/2010,1373,242,5,0,539,1224
3/30/2010,1814,241,6,146,483,1197
3/31/2010,1759,240,6,113,684,1166
4/1/2010,1353,246,5,0,220,1156
4/2/2010,2112,242,7,56,433,1377
4/3/2010,373,243,2,0,351,993
4/4/2010,1528,242,5,113,415,1183
4/5/2010,1309,236,4,0,428,1149
4/6/2010,1161,240,4,155,292,1170
4/7/2010,1435,240,5,108,665,1054
4/8/2010,229,241,2,0,397,1013
4/9/2010,1610,241,5,203,445,1175
4/10/2010,1725,241,5,149,611,1090
4/11/2010,2485,243,7,292,874,1142
4/12/2010,,,,,,
4/13/2010,1250,242,4,110,545,1185
4/14/2010,1431,241,5,110,655,1109
4/15/2010,1608,241,5,113,566,1227
4/16/2010,1374,242,4,273,498,1175
4/17/2010,1344,241,4,29,617,1175
4/18/2010,1256,241,4,114,523,1174
4/19/2010,1492,241,5,118,646,1194
4/20/2010,1735,241,5,129,605,1249
4/21/2010,1377,242,5,0,538,1180
4/22/2010,1260,241,4,109,547,1173
4/23/2010,892,242,3,0,527,1142
4/24/2010,1363,242,5,220,960,1100
4/25/2010,1312,241,4,0,838,1089
4/26/2010,716,241,3,111,372,1083
4/27/2010,1100,242,4,0,436,1103
4/28/2010,494,243,2,0,471,1060
4/29/2010,912,242,3,2,560,1100
4/30/2010,863,242,3,194,547,1075
5/1/2010,2092,245,6,204,221,1252
5/2/2010,2009,242,6,108,394,1279
5/3/2010,1105,243,3,111,284,1054
5/4/2010,843,244,3,110,493,1049
5/5/2010,1594,236,5,264,449,1160
5/6/2010,1820,241,6,594,512,1161
5/7/2010,885,241,3,107,685,1065
5/8/2010,220,242,2,0,389,1012
5/9/2010,1134,242,4,137,526,1077
5/10/2010,1792,240,5,0,724,1152
5/11/2010,1583,244,5,0,542,1180
5/12/2010,,,,,,
5/13/2010,1344,243,4,170,282,1141
5/14/2010,1542,242,5,74,242,1251
5/15/2010,1837,242,6,189,245,1200
5/16/2010,2087,241,6,347,466,1163
5/17/2010,1483,241,5,107,269,1226
5/18/2010,1302,242,4,0,252,1160
5/19/2010,1288,242,4,173,306,1125
5/20/2010,845,242,3,0,271,1137
5/21/2010,1077,242,4,112,277,1132
5/22/2010,2097,240,6,234,393,1258
5/23/2010,1507,241,4,104,306,1121
5/24/2010,1159,241,4,214,435,1080
5/25/2010,975,240,4,22,331,1127
5/26/2010,1241,240,4,107,543,1097
5/27/2010,1184,240,4,108,325,1130
5/28/2010,1323,240,4,112,303,1151
5/29/2010,1952,240,6,281,294,1250
5/30/2010,1572,240,5,285,433,1115
5/31/2010,1103,241,4,148,363,1134
6/1/2010,1590,245,5,131,449,1167
6/2/2010,2610,241,8,259,520,1275
6/3/2010,572,243,2,0,339,1016
6/4/2010,1745,243,5,116,516,1172
6/5/2010,1102,236,4,0,219,1115
6/6/2010,1518,241,5,406,429,1151
6/7/2010,814,241,3,0,631,1093
6/8/2010,215,241,2,0,380,1002
6/9/2010,1193,242,4,281,406,1127
6/10/2010,1078,241,4,111,417,1079
6/11/2010,1630,238,5,278,577,1113
6/12/2010,,,,,,
6/13/2010,1538,241,5,375,601,1111
6/14/2010,1011,242,4,108,355,1128
6/15/2010,958,241,4,0,363,1125
6/16/2010,1721,241,5,215,547,1132
6/17/2010,765,240,3,0,367,1100
6/18/2010,1089,241,4,110,341,1163
6/19/2010,1222,242,4,243,396,1120
6/20/2010,1465,240,5,109,510,1164
6/21/2010,1440,241,5,264,464,1149
6/22/2010,1301,241,5,108,579,1107
6/23/2010,1133,240,4,282,925,1128
6/24/2010,811,241,3,109,491,1086
6/25/2010,815,241,3,0,556,1132
6/26/2010,696,241,3,104,660,1087
6/27/2010,919,240,4,311,633,1079
6/28/2010,1294,240,4,0,676,1158
6/29/2010,1281,240,4,207,833,1088
6/30/2010,1202,241,4,13,667,1034
7/1/2010,1574,245,5,114,190,1192
7/2/2010,1449,243,5,258,595,1046
7/3/2010,1338,244,4,0,435,1017
7/4/2010,1330,242,5,111,594,1154
7/5/2010,1409,237,5,112,244,1190
7/6/2010,764,242,3,159,364,1071
7/7/2010,584,241,3,107,628,1040
7/8/2010,212,241,2,0,390,1007
7/9/2010,1226,241,4,161,434,1153
7/10/2010,1677,242,5,93,433,1166
7/11/2010,1550,238,5,111,521,1054
7/12/2010,,,,,,
7/13/2010,1224,240,4,189,538,1079
7/14/2010,1228,240,4,112,451,1079
7/15/2010,1619,240,5,112,503,1080
7/16/2010,650,241,3,0,427,1013
7/17/2010,593,241,2,0,407,1049
7/18/2010,592,241,2,0,374,1008
7/19/2010,493,242,2,0,411,1058
7/20/2010,686,242,3,7,413,1033
7/21/2010,893,242,3,153,432,1048
7/22/2010,843,241,4,0,1440,1043
7/23/2010,935,240,4,108,1440,1084
7/24/2010,699,240,3,0,1440,999
7/25/2010,943,240,3,0,1288,1069
7/26/2010,631,241,3,0,549,1007
7/27/2010,747,240,3,109,393,1000
7/28/2010,576,240,3,105,407,1068
7/29/2010,241,240,2,0,405,1005
7/30/2010,233,240,2,0,399,1000
7/31/2010,249,240,2,0,414,1009
8/1/2010,1606,244,5,0,288,1190
8/2/2010,2446,242,7,114,363,1309
8/3/2010,2530,244,7,245,612,1245
8/4/2010,1422,242,5,5,566,1191
8/5/2010,1241,242,4,217,306,1130
8/6/2010,1193,241,4,130,387,1152
8/7/2010,1010,240,4,105,630,1085
8/8/2010,219,241,2,0,397,1003
8/9/2010,1122,241,4,1,375,1074
8/10/2010,1285,241,4,109,584,1114
8/11/2010,1629,238,5,113,471,1175
8/12/2010,,,,,,
8/13/2010,226,241,2,0,379,1005
8/14/2010,240,241,2,0,382,1012
8/15/2010,840,242,3,0,486,1032
8/16/2010,848,241,3,139,349,1073
8/17/2010,903,241,3,108,330,914
8/18/2010,,,,,,
8/19/2010,,,,,,
8/20/2010,,,,,,
8/21/2010,,,,,,
8/22/2010,85,243,3,0,41,106
8/23/2010,429,242,2,0,427,1048
8/24/2010,367,242,2,0,409,1039
8/25/2010,668,241,3,106,393,1093
8/26/2010,429,242,2,0,403,1032
8/27/2010,1915,241,6,106,672,1166
8/28/2010,1237,243,4,172,415,1179
8/29/2010,1556,241,5,207,406,1182
8/30/2010,1379,241,4,109,442,1154
8/31/2010,1305,241,4,178,457,1082
9/1/2010,2165,244,7,198,396,1223
9/2/2010,2378,243,7,115,337,1311
9/3/2010,1585,244,5,33,311,1153
9/4/2010,941,243,3,111,472,1145
9/5/2010,1416,241,5,189,348,1131
9/6/2010,1356,241,5,267,516,1087
9/7/2010,861,241,3,0,473,1035
9/8/2010,225,241,2,0,388,1008
9/9/2010,1005,241,4,156,450,1059
9/10/2010,1547,240,5,111,1440,1174
9/11/2010,1923,238,6,162,497,1160
9/12/2010,,,,,,
9/13/2010,810,241,3,82,689,1056
9/14/2010,1271,241,4,214,743,1121
9/15/2010,731,241,3,0,765,1043
9/16/2010,1134,240,4,108,635,1124
9/17/2010,1289,241,4,137,830,1113
9/18/2010,1085,242,4,110,627,1156
9/19/2010,666,242,3,0,556,1030
9/20/2010,1543,241,5,296,644,1179
9/21/2010,875,241,3,0,574,1081
9/22/2010,1303,241,4,181,689,1146
9/23/2010,1259,241,4,111,641,1152
9/24/2010,1077,241,4,153,652,1092
9/25/2010,54,241,2,0,128,166
9/26/2010,,,,,,
9/27/2010,,,,,,
9/28/2010,468,240,7,76,153,204
9/29/2010,1546,241,5,137,546,1173
9/30/2010,1181,242,4,0,652,1090
10/1/2010,2286,244,7,329,434,1214
10/2/2010,1840,242,6,114,432,1176
10/3/2010,1738,244,5,114,298,1220
10/4/2010,967,241,3,110,487,1109
10/5/2010,1151,241,4,0,293,1177
10/6/2010,1019,242,4,0,354,1138
10/7/2010,967,240,4,108,514,1092
10/8/2010,225,242,2,0,396,1013
10/9/2010,1115,242,4,109,503,1129
10/10/2010,1818,240,6,205,694,1114
10/11/2010,1837,239,6,111,625,1178
10/12/2010,,,,,,
10/13/2010,1945,241,6,218,514,1243
10/14/2010,2007,241,6,247,552,1198
10/15/2010,1460,241,5,31,700,1131
10/16/2010,613,242,3,0,543,1080
10/17/2010,696,242,3,70,557,1022
10/18/2010,2631,242,8,174,1024,1243
10/19/2010,1764,242,6,110,715,1117
10/20/2010,1562,242,5,177,535,1127
10/21/2010,1124,243,4,30,596,1067
10/22/2010,1525,243,5,112,411,1175
10/23/2010,2191,242,7,194,682,1182
10/24/2010,2337,243,7,218,844,1185
10/25/2010,912,242,3,0,443,1062
10/26/2010,571,245,3,0,561,1039
10/27/2010,1201,246,4,0,497,1109
10/28/2010,1322,246,4,110,591,1117
10/29/2010,1067,246,3,111,590,1027
10/30/2010,2079,243,6,134,513,1221
10/31/2010,1153,245,4,91,570,1046
11/1/2010,1251,246,4,118,280,1158
11/2/2010,1139,245,4,0,263,1137
11/3/2010,1678,243,6,105,254,1238
11/4/2010,1365,241,5,193,470,1108
11/5/2010,1390,242,5,100,252,1154
11/6/2010,1278,241,4,310,350,1150
11/7/2010,998,240,4,103,450,1073
11/8/2010,229,241,2,0,410,1005
11/9/2010,1267,242,4,107,813,1104
11/10/2010,1419,240,5,106,1270,1086
11/11/2010,1648,239,5,252,595,724
11/12/2010,,,,,,
11/13/2010,2051,239,6,114,490,807
11/14/2010,1957,239,6,275,459,510
11/15/2010,1560,240,5,111,587,521
11/16/2010,1286,241,4,0,385,452
11/17/2010,1325,241,5,114,402,506
11/18/2010,1420,241,5,170,397,537
11/19/2010,1325,240,5,0,393,677
11/20/2010,2076,241,6,338,507,657
11/21/2010,535,241,3,0,401,273
11/22/2010,1971,240,6,367,457,584
11/23/2010,1399,241,5,162,369,442
11/24/2010,1566,240,5,111,482,699
11/25/2010,1263,242,4,113,343,292
11/26/2010,1275,240,5,111,312,573
11/27/2010,1135,242,4,0,298,1153
11/28/2010,1895,242,5,284,290,1210
11/29/2010,1579,243,5,113,429,1091
11/30/2010,1589,244,5,109,270,1166
12/1/2010,1146,244,6,53,325,768
12/2/2010,1647,244,5,119,248,1229
12/3/2010,1448,243,5,137,328,1204
12/4/2010,1152,242,4,31,516,1168
12/5/2010,1928,242,6,73,457,1244
12/6/2010,1864,240,6,194,730,1235
12/7/2010,978,240,3,161,489,1054
12/8/2010,216,241,2,0,385,1003
12/9/2010,1476,242,5,205,863,1099
12/10/2010,1357,240,5,63,576,1105
12/11/2010,1774,239,5,221,405,602
12/12/2010,1691,245,5,112,437,1111
12/13/2010,2181,244,6,162,315,1197
12/14/2010,1767,246,5,111,371,1160
12/15/2010,1798,246,6,112,297,1211
12/16/2010,1287,247,4,113,416,1119
12/17/2010,1499,247,5,0,229,1215
12/18/2010,1674,247,5,116,225,1170
12/19/2010,2019,246,6,113,376,975
12/20/2010,2096,247,3,48,234,426
12/21/2010,1992,246,6,172,213,622
12/22/2010,1864,246,5,0,216,865
12/23/2010,1757,247,4,114,213,610
12/24/2010,2779,246,8,182,476,806
12/25/2010,2540,244,6,106,431,1210
12/26/2010,2396,242,6,114,400,1241
12/27/2010,2562,243,6,316,243,1176
12/28/2010,2163,244,6,219,374,1226
12/29/2010,2188,243,6,56,267,1132
12/30/2010,2567,241,7,311,430,1169
12/31/2010,3320,241,6,0,305,1300
